model,term,coef,std_err,t,p_value,ci_lower_95,ci_upper_95
model1_level_level,Intercept,63493.002424146274,15644.478106265673,4.058492842833606,5.898129569200016e-05,32741.13442272288,94244.87042556966
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Male]",5602.145313678861,2957.296318369234,1.894346967830433,0.058870630692683376,-210.92083054510567,11415.211457902828
model1_level_level,"C(Gender, Treatment(reference='Female'))[T.Other]",-26771.074052573647,355923.3692596126,-0.07521583679167375,0.9400790539142199,-726398.6612272359,672856.5131220886
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",36908.31922627931,2924.8925876192116,12.618692181213309,3.82061344918593e-31,31158.94809597717,42657.69035658144
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",48751.380836726625,3897.068296566661,12.509757881245465,1.0375219196537605e-30,41091.0339057189,56411.72776773435
model1_level_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",57442.78946287528,5206.163077327953,11.033613163796169,5.2095285020807685e-25,47209.195305218265,67676.38362053229
model1_level_level,Age,-1593.6482820619258,629.4205662207573,-2.5319291545090437,0.011709884503457293,-2830.8808722657377,-356.4156918581141
model1_level_level,Q('Years of Experience'),7182.795822750775,837.3829825676147,8.577671116179864,1.9227799231084055e-16,5536.777926107479,8828.813719394071
model2_log_level,Intercept,10.71869257873664,0.15323733743389156,69.94830867092567,1.696039828511807e-232,10.417478671717951,11.019906485755328
model2_log_level,"C(Gender, Treatment(reference='Female'))[T.Male]",0.06294612585725327,0.030371675543816735,2.0725272718800745,0.03883019393444921,0.003245460167967895,0.12264679154653865
model2_log_level,"C(Gender, Treatment(reference='Female'))[T.Other]",0.10728342092114934,58.857265612880866,0.0018227727673721637,0.9985465102155258,-115.58662792324368,115.80119476508598
model2_log_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",0.6942663654348745,0.050605316873467705,13.71923758862732,1.2965757736713288e-35,0.5947930551657505,0.7937396757039985
model2_log_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",0.8467693228569674,0.05559391985133534,15.231329705142718,5.746703233817542e-42,0.7374900696062457,0.956048576107689
model2_log_level,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",0.8553664516327841,0.06414594559659421,13.334692374979959,4.912576538175635e-34,0.7292767451936211,0.9814561580719472
model2_log_level,Age,-0.01581458503212609,0.0057595332263961,-2.745810191639734,0.006297346655911954,-0.02713592182104775,-0.004493248243204427
model2_log_level,Q('Years of Experience'),0.06911921427361846,0.008163867911240682,8.46647876044754,4.3561096624204835e-16,0.05307175096533581,0.0851666775819011
model3_log_level_extended,Intercept,10.264405934993121,0.0696310853803421,147.41125862000303,0.0,10.127530399864751,10.401281470121491
model3_log_level_extended,"C(Gender, Treatment(reference='Female'))[T.Male]",0.05491098625131227,0.02824069598664616,1.944392102704458,0.05252677322450501,-0.0006024436263881369,0.11042441612901269
model3_log_level_extended,"C(Gender, Treatment(reference='Female'))[T.Other]",-0.15996195767936505,48.69350897731115,-0.0032850776425642214,0.9973804781392149,-95.87798878638576,95.55806487102701
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.Bachelor]",0.6184675599417163,0.06226305682165801,9.933138389160879,5.427226965471248e-21,0.4960755395582671,0.7408595803251655
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.Master]",0.8575097144063879,0.07923783400996594,10.821973178854646,3.382277317037058e-24,0.701749957492001,1.0132694713207748
model3_log_level_extended,"C(Q('Education Level'), Treatment(reference='High School'))[T.PhD]",1.0626778578694418,0.13970162362432217,7.606768126955603,1.9175559923464795e-13,0.7880629443228044,1.3372927714160792
model3_log_level_extended,Age_c,-0.007807671460902049,0.006630289495190505,-1.1775762531282528,0.23964371711669746,-0.020840994405002176,0.0052256514831980775
model3_log_level_extended,Age2_c,-0.0009143718017361439,0.0003462888109390765,-2.6404890162535795,0.008592468911961635,-0.001595080224523909,-0.0002336633789483787
model3_log_level_extended,Q('Years of Experience'),0.0826565943420799,0.0072982161299455775,11.325588728857811,4.4352381550285066e-26,0.06831031160338204,0.09700287708077777
model3_log_level_extended,Exp_x_Bachelor,-0.003425174610721756,0.008146641191438698,-0.42044009675070393,0.6743826510265922,-0.019439227335681757,0.012588878114238243
model3_log_level_extended,Exp_x_Master,-0.019910107211965653,0.006725585665723939,-2.9603529270967273,0.003249984360199252,-0.03313075617958243,-0.006689458244348873
model3_log_level_extended,Exp_x_PhD,-0.029147019484810355,0.00927442428049262,-3.1427308696796197,0.0017944750299680374,-0.04737798313367448,-0.01091605583594623
